"training","earnings","age","education","prior_earnings","employment_history","urban","skill","ps","tau_true"
1,108.298160839625,39,16,126.5,22,0,0.307447258458403,0.834286135886154,4.96734143206928
1,82.0635034275031,43,13,33.6,29,1,-1.10451148216812,0.856643111632138,4.67333051564472
1,68.1628673214555,31,12,18.3,11,1,-0.964744076187336,0.0613429760381393,5.54729290310849
1,108.923733522236,26,15,124.1,12,1,0.819467148507621,0.813530805637857,5.36872171998271
0,63.6334475775429,28,13,16.6,11,0,-1.50905422494948,0.02,5.64425018525816
1,23.8021051329348,38,14,297.6,23,0,1.39121498591784,0.953845703743411,4.78099568988439
1,123.086078278737,38,13,62.2,19,1,1.10120014119398,0.88590728904802,5.02899568988439
0,50.2779762439053,28,11,11.2,10,0,-2.33340246443557,0.02,6.21625018525816
1,105.408211358811,38,11,40.2,26,1,0.618537256921367,0.906893083418041,5.54499568988439
0,86.153988222447,32,16,21.5,13,1,-1.74676602379857,0.0264193852724998,5.55026647752179
1,140.380221233455,40,13,70.1,28,1,1.04936925276579,0.98,4.82567934733469
0,71.1540481061502,28,15,39.2,12,1,-1.15579753318371,0.0722751713877188,5.27225018525816
1,121.882098701287,35,15,64.1,17,1,0.383882306375614,0.772619477447659,5.09961365145159
0,73.100947667715,18,10,39.3,0,0,0.858340534384955,0.284217981939344,5.90522198857073
1,112.720936858569,28,15,87.7,10,1,0.495036490963285,0.663015321685015,5.21625018525816
0,89.20754130596,24,14,66.9,8,1,-0.0309592424245757,0.389487910811443,5.30237417762586
0,85.800830427416,29,13,56.6,13,1,0.138038683092111,0.302296139810232,5.25464487834106
0,69.9128502997605,18,11,26.1,0,0,0.351527917547507,0.28523261895091,6.30522198857073
1,70.1202081176688,48,11,11.4,29,0,-1.52016598900219,0.497531808693439,5.15817883764127
1,97.4311278192072,37,13,25.4,21,1,-0.577874832943226,0.428970134029932,5.4312603691244
1,126.311796767302,33,12,55.4,19,1,1.50553815201498,0.827252015455988,4.9752914734903
0,69.4371484431958,31,14,26.2,11,1,-0.949466723631463,0.0804124701680617,5.54729290310849
0,106.896211568013,34,13,58.9,19,1,0.29570743803315,0.600927565502375,5.1344285021965
1,63.3386742658576,18,12,14.6,1,1,-0.933200186794151,0.17010816009795,5.77322198857073
1,119.297415762876,25,18,129.4,9,1,-0.128701114987641,0.654873747644225,5.30227443832449
1,132.760145824238,36,15,67.3,16,1,0.934341824641769,0.888031855454176,5.08265978780913
1,60.5914298757541,18,8,19.7,0,0,0.871781992560635,0.116652049595867,6.30522198857073
1,94.5030864139225,31,12,63.4,11,1,1.31139219329819,0.623665656965877,4.94729290310849
0,87.0585449363615,24,14,32.4,7,1,-0.105868140574324,0.286628275437986,5.25837417762586
1,76.0002690483336,41,13,48.8,25,0,-1.29193746552898,0.33881234076974,4.85530985288139
0,81.2791746029247,38,12,15,20,1,-0.549673791320021,0.348253260791644,5.41699568988439
1,110.129530935292,38,15,84.8,20,1,-0.0718631283600842,0.746300160544097,5.01699568988439
0,98.9317246442801,40,16,73.3,20,0,-0.832420301288564,0.235243734741103,4.98567934733469
0,75.2883623996438,28,14,32.8,12,1,-1.38058759391882,0.0457595402682063,5.27225018525816
1,130.811828603865,33,15,65.1,15,0,0.598739378688881,0.566349008193294,5.1432914734903
1,140.322523181731,36,16,79.3,16,1,0.9465087437543,0.927107901641272,5.08265978780913
1,130.023349094585,47,14,83.7,22,0,0.644579235473901,0.709883597197236,4.54065216851173
1,82.1601228538955,42,13,18.4,24,0,-1.8462486969404,0.14298104537178,5.25546628439086
0,71.5236901134408,27,12,20.7,13,0,-0.442211963885318,0.0727771085482578,5.75048110212308
0,37.1656026565738,18,10,13.2,0,1,-0.489560500800265,0.184410769416391,6.30522198857073
1,72.115728215418,41,12,31.7,21,1,-0.517192776407932,0.439368299316156,4.95130985288139
1,141.849992163383,34,15,117.3,19,1,1.59510251894522,0.978296202710684,4.9344285021965
1,118.759963385478,45,16,71.9,27,1,-0.624359000188432,0.853829443223594,4.37075328034878
1,83.2204315793201,48,11,34.5,30,0,-0.00341295756018648,0.887282253927305,4.70617883764127
1,116.007697847028,46,13,90.5,24,1,0.585821279274335,0.894002943140297,4.46857145488703
1,24.2254458564075,48,17,299.2,35,0,0.3888767569041,0.98,3.84617883764127
0,36.8126670254431,29,10,5.5,9,1,-2.22910157136365,0.02,6.15864487834106
0,75.4182993801007,34,13,39.5,13,1,-0.350460849413931,0.184280340541911,5.1104285021965
1,102.960838020209,50,13,23.1,31,1,-1.22192784109224,0.83572239422859,4.33457945846835
1,164.659360705095,30,14,96.6,10,0,2.5,0.92409206443947,4.9541868505573
1,121.426774220979,22,14,75.2,4,1,1.23940221785706,0.875862236865708,5.27891158717142
