training,earnings,age,education,prior_earnings,employment_history,urban,ps,tau_true
1,108.298160839625,39,16,126.5,22,0,0.834286135886154,4.96734143206928
1,82.0635034275031,43,13,33.6,29,1,0.856643111632138,4.67333051564472
1,68.1628673214555,31,12,18.3,11,1,0.0613429760381393,5.54729290310849
1,108.923733522236,26,15,124.1,12,1,0.813530805637857,5.36872171998271
0,63.6334475775429,28,13,16.6,11,0,0.02,5.64425018525816
1,23.8021051329348,38,14,297.6,23,0,0.953845703743411,4.78099568988439
1,123.086078278737,38,13,62.2,19,1,0.88590728904802,5.02899568988439
0,50.2779762439053,28,11,11.2,10,0,0.02,6.21625018525816
1,105.408211358811,38,11,40.2,26,1,0.906893083418041,5.54499568988439
0,86.153988222447,32,16,21.5,13,1,0.0264193852724998,5.55026647752179
1,140.380221233455,40,13,70.1,28,1,0.98,4.82567934733469
0,71.1540481061502,28,15,39.2,12,1,0.0722751713877188,5.27225018525816
1,121.882098701287,35,15,64.1,17,1,0.772619477447659,5.09961365145159
0,73.100947667715,18,10,39.3,0,0,0.284217981939344,5.90522198857073
1,112.720936858569,28,15,87.7,10,1,0.663015321685015,5.21625018525816
0,89.20754130596,24,14,66.9,8,1,0.389487910811443,5.30237417762586
0,85.800830427416,29,13,56.6,13,1,0.302296139810232,5.25464487834106
0,69.9128502997605,18,11,26.1,0,0,0.28523261895091,6.30522198857073
1,70.1202081176688,48,11,11.4,29,0,0.497531808693439,5.15817883764127
1,97.4311278192072,37,13,25.4,21,1,0.428970134029932,5.4312603691244
1,126.311796767302,33,12,55.4,19,1,0.827252015455988,4.9752914734903
0,69.4371484431958,31,14,26.2,11,1,0.0804124701680617,5.54729290310849
0,106.896211568013,34,13,58.9,19,1,0.600927565502375,5.1344285021965
1,63.3386742658576,18,12,14.6,1,1,0.17010816009795,5.77322198857073
1,119.297415762876,25,18,129.4,9,1,0.654873747644225,5.30227443832449
1,132.760145824238,36,15,67.3,16,1,0.888031855454176,5.08265978780913
1,60.5914298757541,18,8,19.7,0,0,0.116652049595867,6.30522198857073
1,94.5030864139225,31,12,63.4,11,1,0.623665656965877,4.94729290310849
0,87.0585449363615,24,14,32.4,7,1,0.286628275437986,5.25837417762586
1,76.0002690483336,41,13,48.8,25,0,0.33881234076974,4.85530985288139
0,81.2791746029247,38,12,15,20,1,0.348253260791644,5.41699568988439
1,110.129530935292,38,15,84.8,20,1,0.746300160544097,5.01699568988439
0,98.9317246442801,40,16,73.3,20,0,0.235243734741103,4.98567934733469
0,75.2883623996438,28,14,32.8,12,1,0.0457595402682063,5.27225018525816
1,130.811828603865,33,15,65.1,15,0,0.566349008193294,5.1432914734903
1,140.322523181731,36,16,79.3,16,1,0.927107901641272,5.08265978780913
1,130.023349094585,47,14,83.7,22,0,0.709883597197236,4.54065216851173
1,82.1601228538955,42,13,18.4,24,0,0.14298104537178,5.25546628439086
0,71.5236901134408,27,12,20.7,13,0,0.0727771085482578,5.75048110212308
0,37.1656026565738,18,10,13.2,0,1,0.184410769416391,6.30522198857073
1,72.115728215418,41,12,31.7,21,1,0.439368299316156,4.95130985288139
1,141.849992163383,34,15,117.3,19,1,0.978296202710684,4.9344285021965
1,118.759963385478,45,16,71.9,27,1,0.853829443223594,4.37075328034878
1,83.2204315793201,48,11,34.5,30,0,0.887282253927305,4.70617883764127
1,116.007697847028,46,13,90.5,24,1,0.894002943140297,4.46857145488703
1,24.2254458564075,48,17,299.2,35,0,0.98,3.84617883764127
0,36.8126670254431,29,10,5.5,9,1,0.02,6.15864487834106
0,75.4182993801007,34,13,39.5,13,1,0.184280340541911,5.1104285021965
1,102.960838020209,50,13,23.1,31,1,0.83572239422859,4.33457945846835
1,164.659360705095,30,14,96.6,10,0,0.92409206443947,4.9541868505573
1,121.426774220979,22,14,75.2,4,1,0.875862236865708,5.27891158717142
1,99.6406708680486,55,14,61,39,0,0.98,2.907289434852
1,108.684929794892,36,15,76.2,19,1,0.714601651261876,5.07065978780913
0,77.6156501121417,19,11,31,0,1,0.673496957554559,5.69961735197886
1,88.9764020448487,37,10,14.6,21,1,0.579802414094627,6.0312603691244
0,62.9928370172639,33,13,18.4,11,1,0.0352659561565732,5.5112914734903
0,71.1238374780509,39,10,36.7,21,1,0.4777790593301,5.58334143206928
1,108.306329313514,38,13,39.8,18,1,0.666992092413032,5.04099568988439
1,107.997375461452,43,18,181.7,21,1,0.814211400012355,4.92933051564472
1,107.406763155564,51,13,104.7,32,0,0.98,3.80414134546302
1,102.321697227601,29,12,73.3,9,1,0.493632979492931,5.15864487834106
1,115.603345353132,31,15,101.8,8,1,0.544078859868731,5.09929290310849
1,142.328948195685,45,17,168.3,26,0,0.98,4.41075328034878
1,95.8512235622873,35,15,57.9,20,1,0.389682531162936,5.09961365145159
1,113.589230969632,49,10,167.2,33,1,0.98,4.28438691346617
0,52.8078263483394,32,14,14,13,1,0.02,5.55026647752179
0,117.468385659512,36,14,56.7,16,0,0.674915915233356,5.08265978780913
0,87.3764599658334,23,12,55.7,4,0,0.249892963422987,5.45220396668599
0,109.27734780119,32,8,34.5,11,1,0.193482821474898,5.52626647752178
1,84.2969488950935,20,12,55.1,2,1,0.409484586556897,5.41147975370484
1,102.554979065321,53,12,26.4,30,1,0.808862128447308,4.1913949599551
0,76.0523542872454,34,10,30.9,17,1,0.321637993636888,5.7264285021965
1,90.772031075996,43,13,13,28,1,0.79202522967348,5.10533051564472
0,84.84688644411,42,15,31.5,21,0,0.251504434588453,4.93946628439086
1,57.3602437113421,36,9,4.6,20,0,0.115818362922042,6.06665978780913
0,77.0151931471456,18,12,58.1,5,1,0.409300221162135,5.34522198857073
1,123.943778187018,47,16,69.6,30,0,0.935049409660014,4.15665216851173
1,120.738107686959,32,17,88.1,10,1,0.669075266254834,5.11426647752179
0,83.0390271135539,28,15,17.8,8,1,0.0637283433248355,5.56025018525816
1,85.8981929089894,26,10,21.5,11,1,0.225812476081474,6.33272171998271
0,82.1263364764643,47,13,25.9,25,1,0.232850399109916,4.79665216851173
1,79.8870040130843,46,14,207.4,31,0,0.98,4.16057145488703
0,81.459020399334,33,14,20.3,12,1,0.093167549537176,5.5192914734903
1,120.738097094053,32,13,113.3,10,1,0.853104365096372,4.91426647752179
0,98.7058451121111,34,12,21.1,19,1,0.630926517530458,5.5344285021965
1,150.49973253836,31,15,81.7,19,1,0.95772873038125,5.07529290310849
1,128.725117503032,48,12,37.3,32,0,0.98,4.00217883764127
0,80.3846736265724,32,13,54.9,16,0,0.137767509910322,5.18626647752179
1,59.6198018768008,31,16,307.2,10,0,0.98,4.93129290310849
1,91.148751931836,39,12,31.1,19,1,0.367861378929758,5.01534143206928
1,124.177020882762,35,14,59.5,20,1,0.856507694671997,5.09961365145159
1,71.666366971601,34,12,22,16,1,0.135520069362805,5.5224285021965
0,99.4751548877345,40,16,72.8,22,0,0.37161555450278,4.94567934733469
1,116.504128239083,28,13,47.1,15,0,0.519259140541367,5.35625018525816
1,104.202368791061,41,13,163.7,21,1,0.967744870772877,4.75130985288139
1,119.679040224361,51,14,150.4,30,0,0.98,3.93214134546302
1,95.340924027471,51,14,23.3,31,1,0.878397706298676,4.26814134546302
1,146.797477207454,40,15,73.8,23,1,0.979145665868364,4.92567934733469
0,70.8589822102373,22,10,31.7,0,0,0.218862233679436,5.87091158717142
1,64.6476557032605,18,11,28.6,0,1,0.34676163385595,6.30522198857073
0,82.098117889654,30,12,31.1,15,1,0.233927879661299,5.2541868505573
0,61.4825393259694,38,14,21.4,14,0,0.02,5.48899568988439
0,81.3806570934916,31,9,28.3,14,1,0.209636890383003,6.19529290310849
0,75.3434016903693,34,16,29.2,16,0,0.02,5.5224285021965
0,40.2647513444004,24,9,13.9,2,0,0.0434828892855157,6.33837417762586
1,52.8817690355736,26,11,9.4,6,1,0.05899992835501,6.15272171998271
1,103.21798003871,40,15,87,27,0,0.881003585141996,4.84567934733469
1,115.503900679258,44,15,178.2,23,1,0.97779776942144,4.84804962660221
0,78.7698954780142,35,13,11.6,17,0,0.0378905312093291,5.49961365145159
0,54.4112844625937,39,13,26.9,18,0,0.0664551345101109,5.43134143206928
0,45.9546282645571,24,10,9.3,6,1,0.0331859068739979,6.21437417762586
1,85.7598752832197,18,13,45.3,0,0,0.573372938111928,5.30522198857073
0,47.5180761967733,40,9,6.5,22,0,0.180434115617876,5.94567934733469
0,85.5888190785322,38,12,31.4,18,0,0.309634645446396,5.04099568988439
0,58.1657868426729,33,13,22.6,15,0,0.0657128966159297,5.5432914734903
1,137.249313911388,40,17,167.4,28,0,0.98,4.82567934733469
0,77.1793537839345,35,14,42,21,0,0.35766039060012,5.09961365145159
1,94.1822598265063,42,15,18.2,29,1,0.676631236838077,5.11546628439086
0,77.5411769432066,31,14,14.1,18,1,0.0388291170458688,5.65929290310849
0,64.6070141182668,31,11,24.2,14,1,0.0845265771605944,6.19529290310849
1,92.2378437525538,26,12,37.1,0,1,0.505202818803221,5.23672171998271
0,69.4245374370677,29,14,15,10,1,0.098557893425272,5.58264487834106
1,93.2032084885271,38,10,21,22,1,0.682908719133443,5.99299568988439
0,77.2297206314649,28,16,18.6,9,1,0.02,5.58825018525816
0,71.8784400549284,40,13,8.6,27,1,0.25557533721901,5.24567934733469
1,95.5708349980156,18,12,40.1,0,0,0.572421061074437,5.30522198857073
0,69.7792068420566,33,12,5.7,22,1,0.163833871899076,5.5992914734903
0,61.7181201643908,18,13,20.7,0,1,0.407316464758525,5.70522198857073
