"scholarship","completed","gpa","parental_income","first_generation","sat_score","distance_to_college","financial_need","ps","tau_true"
1,1,3.22347944777976,96.7,0,1043,43.5,27,0.277580275622079,0.04
1,0,2.32992053901875,44,1,1055,0,86,0.940072519596063,0.4
1,1,2.80918086760404,64.6,0,1321,17.4,61,0.716514869497948,0.14
1,1,2.30858567572286,87.2,0,1091,0,54,0.702396904057102,0.04
1,0,2.53280524769491,53,0,1371,41.1,78,0.84838004151336,0.3
1,1,3.50786117121362,223.6,1,1235,5.1,32,0.404103817543751,0.28
1,1,3.64805174602257,49.8,0,1223,11.7,68,0.693818122896926,-0.02
1,1,3.560379203862,56.9,1,1095,38.2,84,0.865977462408635,0.4
1,0,2.63516196431892,57.6,0,981,21.8,66,0.759544743696371,0.04
1,1,3.40116243038504,154.2,1,1282,0,61,0.723008381579122,0.28
0,0,3.36400005109353,81,1,943,72.1,52,0.59713665664896,0.3
0,1,3.0731855674885,58.3,0,1192,17.1,52,0.603334241332497,0.08
1,0,4,62.9,0,830,3.6,44,0.386419140034735,-0.12
1,1,2.51218158659365,74.7,0,1113,49,53,0.631684986171847,0.04
1,1,3.35004900210093,242.8,1,1293,20.6,19,0.286817641476304,0.28
0,1,3.47367025217561,125.2,0,1095,51.5,34,0.28741507663832,0.04
1,1,2.71223399942146,31,1,1415,25.4,75,0.900861526984624,0.5
0,1,2.98544412143069,26.4,0,906,41.6,39,0.496128499739198,0.04
1,1,3.12671160526162,135,1,1204,17.9,46,0.605191040735138,0.28
1,0,2.69482544163591,35.4,1,1001,24.1,65,0.843058441699283,0.24
1,1,2.80726284665713,83.4,1,1001,20.5,66,0.809794830306975,0.24
1,1,2.53291870624651,47.4,1,1177,26.7,79,0.906365034860533,0.44
0,0,2.0483158733223,58.2,0,983,49.2,62,0.76674790298458,0.04
1,0,1.95162797890319,79.9,0,1231,70.5,60,0.739631613031935,0.08
1,1,3.45884041902767,28.7,0,1118,54.2,54,0.574231437146873,0.04
1,0,3.17343660341748,28.6,0,1336,12.2,64,0.749576152964532,0.14
0,0,2.75596066971348,263.3,1,1191,75,10,0.217697456588039,0.34
1,1,2.70000326125477,215,1,1100,38,39,0.525906907004883,0.24
1,1,2.65958214548553,74.8,0,1348,35.2,54,0.649645720226295,0.14
0,1,3.05463943224812,123.4,0,1124,27.9,35,0.372293004721255,0.04
1,0,2.54753220535715,95.9,1,994,26.9,71,0.845817884528551,0.4
1,1,3.35989881346421,39.8,0,986,47.3,76,0.758047508640975,0.2
1,1,3.5291605084507,120.5,0,897,43.5,56,0.484463934498085,-0.02
1,1,2.8611113424645,46.3,1,1277,40.7,71,0.853912726293817,0.44
0,0,2.56161351566075,191.9,0,1183,33.5,16,0.241596686071304,0.08
0,0,2.50350157843566,244.5,1,1036,23.6,19,0.356082334830405,0.24
1,1,2.73625383742409,68.6,1,1552,8.5,61,0.821506346583805,0.4
1,1,2.19195268133327,83,1,1017,0,51,0.774413717470628,0.24
1,0,2.39028228424222,42.4,0,1094,35,49,0.659061804670765,0.04
1,0,2.32212433609856,204,0,1316,32.6,4,0.186631045043224,0.14
1,0,2.50763562421061,55.8,0,1098,39.9,57,0.693953995124376,0.04
0,1,3.41548175749318,113,0,1186,10.7,41,0.409693993896564,0.08
1,1,2.85020685258002,121.3,0,1140,20,41,0.46843519756708,0.04
0,0,2.73492790731961,98.2,0,1061,17.7,41,0.496490309387722,0.04
1,1,3.32336511498738,95.6,0,1053,42,37,0.354535241378936,0.04
1,1,2.60967392997142,147.5,1,1125,21.6,53,0.708786868832615,0.24
0,0,2.35462772878015,125.4,0,975,95.5,54,0.570393875948142,0.04
1,1,3.58675418072994,53.2,0,1097,37.1,57,0.562261303639465,0.04
0,1,2.77313215567794,63.5,0,1268,22.2,42,0.539276675236493,0.08
1,0,3.37654436161335,63.3,0,1098,41.5,65,0.649991968287966,0.04
1,0,3.65140947902929,70.8,0,823,38.9,56,0.504906625798043,-0.12
0,1,3.57669192728514,123.3,0,1092,0,43,0.407445420545304,0.04
1,1,2.71049856082645,69.1,0,940,12,35,0.462929998581322,0.04
1,0,2.50757723395814,37.8,1,1116,0,81,0.925950091480768,0.4
1,0,2.27594837598976,202,0,1154,34.1,38,0.467294444689714,0.08
0,0,3.28627530227457,265.1,0,1067,0,0,0.103940739445587,0.04
0,0,3.24325226224903,196.4,1,1050,26.4,49,0.577409096427456,0.24
