scholarship,completed,gpa,parental_income,first_generation,sat_score,distance_to_college,financial_need
1,1,3.22347944777976,96.7,0,1043,43.5,27
1,0,2.32992053901875,44,1,1055,0,86
1,1,2.80918086760404,64.6,0,1321,17.4,61
1,1,2.30858567572286,87.2,0,1091,0,54
1,0,2.53280524769491,53,0,1371,41.1,78
1,1,3.50786117121362,223.6,1,1235,5.1,32
1,1,3.64805174602257,49.8,0,1223,11.7,68
1,1,3.560379203862,56.9,1,1095,38.2,84
1,0,2.63516196431892,57.6,0,981,21.8,66
1,1,3.40116243038504,154.2,1,1282,0,61
0,0,3.36400005109353,81,1,943,72.1,52
0,1,3.0731855674885,58.3,0,1192,17.1,52
1,0,4,62.9,0,830,3.6,44
1,1,2.51218158659365,74.7,0,1113,49,53
1,1,3.35004900210093,242.8,1,1293,20.6,19
0,1,3.47367025217561,125.2,0,1095,51.5,34
1,1,2.71223399942146,31,1,1415,25.4,75
0,1,2.98544412143069,26.4,0,906,41.6,39
1,1,3.12671160526162,135,1,1204,17.9,46
1,0,2.69482544163591,35.4,1,1001,24.1,65
1,1,2.80726284665713,83.4,1,1001,20.5,66
1,1,2.53291870624651,47.4,1,1177,26.7,79
0,0,2.0483158733223,58.2,0,983,49.2,62
1,0,1.95162797890319,79.9,0,1231,70.5,60
1,1,3.45884041902767,28.7,0,1118,54.2,54
1,0,3.17343660341748,28.6,0,1336,12.2,64
0,0,2.75596066971348,263.3,1,1191,75,10
1,1,2.70000326125477,215,1,1100,38,39
1,1,2.65958214548553,74.8,0,1348,35.2,54
0,1,3.05463943224812,123.4,0,1124,27.9,35
1,0,2.54753220535715,95.9,1,994,26.9,71
1,1,3.35989881346421,39.8,0,986,47.3,76
1,1,3.5291605084507,120.5,0,897,43.5,56
1,1,2.8611113424645,46.3,1,1277,40.7,71
0,0,2.56161351566075,191.9,0,1183,33.5,16
0,0,2.50350157843566,244.5,1,1036,23.6,19
1,1,2.73625383742409,68.6,1,1552,8.5,61
1,1,2.19195268133327,83,1,1017,0,51
1,0,2.39028228424222,42.4,0,1094,35,49
1,0,2.32212433609856,204,0,1316,32.6,4
1,0,2.50763562421061,55.8,0,1098,39.9,57
0,1,3.41548175749318,113,0,1186,10.7,41
1,1,2.85020685258002,121.3,0,1140,20,41
0,0,2.73492790731961,98.2,0,1061,17.7,41
1,1,3.32336511498738,95.6,0,1053,42,37
1,1,2.60967392997142,147.5,1,1125,21.6,53
0,0,2.35462772878015,125.4,0,975,95.5,54
1,1,3.58675418072994,53.2,0,1097,37.1,57
0,1,2.77313215567794,63.5,0,1268,22.2,42
1,0,3.37654436161335,63.3,0,1098,41.5,65
1,0,3.65140947902929,70.8,0,823,38.9,56
0,1,3.57669192728514,123.3,0,1092,0,43
1,1,2.71049856082645,69.1,0,940,12,35
1,0,2.50757723395814,37.8,1,1116,0,81
1,0,2.27594837598976,202,0,1154,34.1,38
0,0,3.28627530227457,265.1,0,1067,0,0
0,0,3.24325226224903,196.4,1,1050,26.4,49
0,0,2.96517621174347,89.5,0,1034,0,35
1,1,3.22934333267885,65,1,1089,37.8,71
1,1,3.04176492748781,181,1,1386,42.1,48
1,1,3.28500959406269,57.6,0,945,32.5,70
0,1,2.3185062816584,222.6,1,820,0,53
1,1,2.65556418497015,101.9,0,1206,20.2,62
1,1,2.48493006068242,261.1,0,1312,16.4,3
1,0,2.28833664191104,61.1,1,1138,37.5,70
0,0,3.16921233816188,169.6,0,1238,40.6,22
0,1,3.39862111171715,64.3,0,1050,52.9,39
0,1,3.06784199967198,40.8,0,1199,55.5,57
1,0,2.74551869496167,65.2,0,1108,19.4,26
1,1,2.52772863701051,98.5,1,1352,39.1,86
0,1,3.19503231519717,157,0,1167,30.7,41
0,0,2.99272608944054,301.7,0,895,0,10
1,1,2.86156617738534,71.5,0,1336,34.7,64
0,1,3.1672871074953,23.2,0,1120,54.8,65
0,1,3.04243283766128,250.1,0,1184,41.7,27
1,1,3.05220764660657,51.1,1,1101,16.1,74
0,0,3.57571747583695,62.6,0,1002,11.9,60
1,1,3.14903950876494,90.8,0,1292,21.1,16
0,1,2.62177462815488,81.4,0,1401,22.3,25
0,1,3.50672513157777,113.1,0,1177,29,36
1,1,2.57752732353085,73.1,0,961,37.4,53
0,1,3.82222573610052,121.3,0,1235,0,35
1,0,2.02068966238175,131.7,0,880,0,28
1,0,2.47786269588648,33.3,0,1122,33.3,54
0,1,2.5752876855739,47.3,0,915,14.8,38
1,1,2.41498483239193,96.9,1,1233,29.7,65
0,1,2.84940241765261,362.6,0,1173,40.6,0
0,1,3.7965675470083,152.1,0,1231,67.3,37
1,1,3.76140904651657,77.3,1,1070,58.6,80
1,1,2.89907087365199,133.4,0,996,12.7,27
0,0,2.46692913496403,88.1,0,888,44.6,56
0,1,2.66390666318097,107.9,0,1069,36.2,31
1,1,2.16098388410848,76.6,1,1243,13.4,48
1,0,2.6870394126442,31.3,0,944,0,67
0,1,3.07653132392638,152,0,1201,24,16
1,1,2.78761145411496,170,0,1093,13.1,14
0,1,3.38913993675052,28,0,1148,76.8,56
1,1,2.66843316895841,150.9,0,959,23.3,67
0,0,2.47426027975779,205.4,1,1155,84.6,32
1,1,1.91727083277751,105.5,0,1105,9.6,32
1,1,2.9020254362804,68.8,0,1234,12.4,37
1,1,3.89430023094668,186.9,0,1090,17.6,16
1,1,2.86368782396562,72.3,0,1233,42.8,67
1,1,2.63462086775599,88.5,1,1232,39.7,62
1,1,3.31226855399811,115.8,0,1098,63.8,47
0,1,2.94083235506975,147,0,1058,57.2,47
0,1,3.02003626224184,125.9,0,1272,11.5,33
1,1,2.74116072737107,71.5,0,1122,55.8,71
1,0,2.5630147762963,141.6,0,1344,1,50
1,0,3.6853950617428,45.9,0,862,35.3,57
1,1,2.77212142754183,126.7,0,1230,12.6,47
1,1,3.25017645244102,25.2,1,1019,46.2,61
0,0,2.14521082864055,36.6,1,1239,43.8,73
0,0,3.54416491817926,168.5,0,933,57.6,25
1,0,2.90445144853965,70.6,0,1093,12.1,26
0,1,3.77118105398694,95.1,1,1209,20.5,49
1,1,3.20141852450895,66.6,0,803,36.3,50
0,0,2.46611093342707,178.5,0,1039,43.1,10
1,1,3.43916751175547,49.5,1,1051,34,85
1,0,3.56007194513921,103.4,0,1123,39.8,60
1,1,1.89107189026134,68,0,1265,33.1,58
1,1,2.85052833993273,47.2,1,1005,34.7,74
0,0,2.74306024487256,64.5,0,1213,6.4,29
1,1,3.58361883880579,56.7,1,1022,13.7,80
0,1,3.21846883174713,163,1,1137,54.3,41
1,1,2.96162630304681,41.6,0,1269,27,59
0,1,3.20281588576023,153.5,0,1264,87.9,35
1,1,2.55431845941538,71.8,0,1182,46.5,48
1,1,2.82856879139842,105.5,1,1111,16.1,78
0,1,3.69019915981726,91.4,0,921,2.6,40
0,1,4,189.7,0,1225,32.6,18
1,1,3.48299264151514,117,1,1102,31.2,57
1,1,2.37222835884436,108.8,1,885,27.1,78
1,1,3.71295335629071,68.4,1,1155,26.4,93
0,0,2.38533166138567,38.1,0,1077,10.4,51
0,1,2.39037655784772,177.8,0,1182,37.2,23
0,0,2.50000615338896,141,1,1097,1.7,52
0,1,3.12315698439785,137.5,0,1087,32.7,31
1,1,3.44009591913909,73.9,0,1141,34,51
