	1_S	6_S	18_S	19_S	20_S	22_S	23_S	26_S	27_S	32_S	35_S	36_S	37_S	38_S	39_S	41_S	42_S	2_A	13_A	14_A	21_A	43_A	45_A	24_M	33_M	40_M	3_O	8_O	10_O	11_O	25_O	44_O
1_S	0	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	4
6_S	2	0	2	2	2	2	2	0	4	2	2	2	2	2	0	2	2	0	2	2	2	0	0	1	2	2	2	2	0	0	0	2
18_S	2	3	0	2	3	1	2	0	2	3	2	4	2	2	0	2	2	1	2	2	0	2	0	2	2	0	3	2	0	1	2	0
19_S	1	1	1	0	0	2	1	0	1	2	2	1	2	2	0	1	1	3	3	1	0	0	0	2	2	2	2	1	0	0	2	1
20_S	1	2	3	0	0	2	0	0	2	2	2	0	0	2	0	0	2	0	1	0	0	2	0	1	2	0	1	0	0	0	0	0
22_S	3	2	1	2	3	0	3	2	3	3	4	3	3	3	2	2	4	2	3	2	1	3	0	4	3	1	4	3	0	0	3	2
23_S	3	3	2	2	1	3	0	0	2	1	1	2	2	2	0	0	3	2	2	2	0	0	0	2	2	0	2	1	0	1	2	2
26_S	4	0	0	2	0	2	1	0	1	0	0	0	1	0	2	1	2	1	0	0	0	2	0	0	0	2	2	0	0	0	0	4
27_S	2	4	2	0	2	2	2	0	0	1	3	2	2	2	2	2	2	0	2	0	0	1	0	1	2	0	2	1	0	0	0	2
32_S	2	2	3	2	2	3	1	0	2	0	4	2	3	3	0	2	3	2	2	0	0	1	0	2	3	0	2	2	0	0	2	0
35_S	2	3	2	2	0	3	0	0	3	3	0	0	4	2	0	2	4	2	2	3	0	0	0	3	3	0	2	0	0	0	2	0
36_S	2	3	4	0	1	2	1	0	2	2	1	0	1	2	0	1	2	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0
37_S	2	2	2	2	2	3	2	0	3	3	4	2	0	3	0	2	4	2	3	2	0	0	0	3	3	2	2	2	0	0	2	0
38_S	2	2	3	2	2	3	2	0	2	4	3	3	4	0	0	1	0	2	2	0	0	0	0	3	3	0	2	1	0	0	0	0
39_S	4	1	1	1	1	2	1	3	2	1	2	1	2	1	0	2	2	1	1	0	2	0	0	1	1	0	2	1	0	1	0	3
41_S	3	3	1	1	0	2	2	0	3	2	3	0	2	1	2	0	2	2	0	0	1	0	0	2	2	1	0	0	0	0	0	2
42_S	2	2	2	0	2	3	2	2	2	2	4	2	3	0	2	2	0	2	2	0	0	2	0	2	2	2	2	2	0	0	0	2
2_A	4	0	1	3	0	2	2	0	1	2	2	0	2	0	0	1	2	0	3	4	2	3	4	3	3	2	2	1	0	3	2	4
13_A	2	2	0	2	0	2	2	0	1	2	1	1	2	2	0	0	2	2	0	1	2	2	0	2	2	2	2	2	0	0	2	0
14_A	3	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	4	2	0	2	0	4	0	1	3	0	2	0	0	0	0
21_A	3	2	1	1	0	1	1	0	2	1	1	1	0	0	2	2	2	3	3	2	0	2	3	1	1	4	1	1	0	3	0	3
43_A	3	0	2	0	0	2	0	2	2	2	2	0	0	0	0	1	2	4	4	0	2	0	2	2	2	2	1	0	0	0	2	0
45_A	3	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	3	3	4	2	3	0	1	1	2	0	2	0	0	0	3
24_M	2	1	0	2	0	3	2	0	1	2	3	0	3	2	0	0	2	2	3	1	0	0	0	0	4	0	2	3	0	0	3	0
33_M	3	2	2	3	2	2	3	0	2	2	3	2	2	3	0	2	2	3	3	1	0	1	1	4	0	1	2	2	0	0	3	0
40_M	2	2	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	2	2	2	4	2	0	1	1	0	1	1	0	0	1	0
3_O	3	4	2	4	4	4	1	2	1	2	2	4	2	0	2	1	1	1	2	0	0	1	0	2	2	0	0	1	0	0	2	0
8_O	3	2	2	2	1	2	1	0	1	2	2	0	2	1	0	2	2	0	2	3	0	0	2	2	2	1	0	0	0	0	2	2
10_O	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	1	2	0	0	0	0	0	2
11_O	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	3	0	0	0	0	0	1	0	0	0	0	0
25_O	3	0	1	2	0	3	2	0	1	3	3	0	2	0	0	1	1	2	3	2	0	0	0	2	3	0	3	2	0	0	0	2
44_O	4	2	0	2	0	2	2	3	2	0	2	2	2	0	2	2	2	4	2	2	2	2	0	1	1	2	2	2	2	1	2	0
