	A_Sheriff	B_CivilDef	C_Coroner	D_Attorney	E_HighwayP	F_ParksRes	G_GameFish	H_KansasDOT	I_ArmyCorps	J_ArmyRes	K_CrableAmb	L_FrankCoAmb	M_LeeRescue	N_Shawney	O_BurlPolice	P_LyndPolice	Q_RedCross	R_TopicaFD	S_CarbDF	T_TopekaRBW
A_Sheriff	0	4	4	0	4	4	4	0	4	0	4	0	0	0	2	2	3	0	0	4
B_CivilDef	4	0	2	0	4	4	4	0	3	0	0	0	0	3	0	2	2	0	0	0
C_Coroner	4	0	0	1	4	4	0	0	4	0	3	0	0	0	0	0	1	0	0	0
D_Attorney	4	4	3	0	4	4	4	0	4	0	0	0	0	4	0	0	0	0	0	0
E_HighwayP	4	0	4	4	0	4	4	0	0	0	2	2	4	4	0	4	2	0	0	2
F_ParksRes	4	0	3	1	4	0	3	0	3	0	4	4	0	4	0	0	0	0	0	0
G_GameFish	4	0	1	1	3	4	0	0	3	1	0	0	0	0	0	1	0	0	0	0
H_KansasDOT	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
I_ArmyCorps	4	0	4	0	3	4	4	0	0	0	4	0	0	0	0	0	2	0	0	0
J_ArmyRes	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K_CrableAmb	4	0	3	0	4	4	3	0	3	0	0	3	0	0	0	0	0	0	0	0
L_FrankCoAmb	2	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0
M_LeeRescue	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N_Shawney	4	0	3	0	4	4	4	0	4	0	0	3	1	0	0	0	3	4	0	4
O_BurlPolice	4	0	2	1	4	4	1	0	4	1	4	2	1	1	0	4	2	1	0	4
P_LyndPolice	4	4	0	0	4	4	4	0	0	0	4	0	0	0	0	0	0	0	0	0
Q_RedCross	4	4	2	0	4	4	4	0	4	1	0	0	0	2	0	0	0	0	0	0
R_TopicaFD	4	0	0	0	4	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0
S_CarbDF	4	4	0	0	4	2	2	0	4	0	0	0	0	0	0	0	2	0	0	0
T_TopekaRBW	4	0	0	0	4	0	0	0	0	0	0	0	0	0	3	2	4	0	0	0
